,Accuracy,Precision,Recall,Specificity,F1,AUC,TN,FP,FN,TP
Random Forest,0.7916666666666666,0.37142857142857144,0.8125,0.7884615384615384,0.5098039215686274,0.8401442307692307,82.0,22.0,3.0,13.0
Lasso Logistic Regression,0.7666666666666667,0.34210526315789475,0.8125,0.7596153846153846,0.48148148148148145,0.8665865384615384,79.0,25.0,3.0,13.0
PCA + Logistic Regression,0.775,0.34285714285714286,0.75,0.7788461538461539,0.47058823529411764,0.8359375,81.0,23.0,4.0,12.0
Logistic Regression,0.7333333333333333,0.30952380952380953,0.8125,0.7211538461538461,0.4482758620689655,0.8611778846153846,75.0,29.0,3.0,13.0
Neural Network,0.8333333333333334,0.35714285714285715,0.3125,0.9134615384615384,0.3333333333333333,0.7884615384615384,95.0,9.0,11.0,5.0
